            2MASS_ID   B_mag   V_mag   I_mag   J_mag   H_mag   K_mag  Period
   03441213+2352375   -99.00   17.90   15.00   13.46   12.87   12.57    0.61
   03441307+2401509    11.77   10.89    9.93    9.31    8.87    8.73  -99.00
   03441391+2446457    11.49   10.79   10.02    9.53    9.17    9.06    3.93
   03441396+2532155   -99.00   16.60   13.85   12.41   11.82   11.54  -99.00
   03441466+2406065    11.36   10.48    9.43    8.70    8.45    8.31    3.18
   03441535+2619524    11.81   11.07  -99.00    9.70    9.31    9.27    4.77
   03441644+2337043   -99.00   17.69   14.60   12.74   12.12   11.89    0.37
   03441774+2426469   -99.00   16.62   14.01   12.60   11.93   11.69    0.27
   03441905+2435184    19.37   17.83   14.93   13.34   12.70   12.44    0.68
   03442008+2447461    11.26   10.60    9.85    9.34    9.00    8.90    1.48
   03442050+2446222    11.92   11.02   10.06    9.45    9.03    8.87    4.52
   03442085+2333401   -99.00   17.42   14.59   12.87   12.24   12.01  -99.00
   03442190+2446062    14.08   13.01   11.70   10.83   10.20   10.07    0.41
   03442306+2404058    15.02   13.74   12.13   10.93   10.29   10.22    0.36
   03442338+2521301    18.45   16.80   14.24   12.50   11.90   11.61    0.34
   03442354+2407575     9.52    9.04    8.43    8.08    7.81    7.77  -99.00
   03442467+2451535   -99.00   17.52   14.35   12.81   12.23   11.94  -99.00
   03442481+2446062    16.97   15.42   13.23   11.92   11.26   11.01    3.27
   03442507+2534040   -99.00   19.12   15.67   13.91   13.30   12.95  -99.00
   03442559+2440528    18.17   16.66   14.01   12.52   11.95   11.65    1.08
   03442570+2423408     8.44    8.17    7.86    7.59    7.53    7.47  -99.00
   03442627+2435229    12.44   11.60  -99.00    9.84    9.39    9.27    0.84
   03442638+2602305    16.88   15.39   12.92   11.59   10.93   10.77    1.58
   03442653+2429115   -99.00   17.94   14.71   13.01   12.41   12.08  -99.00
   03442687+2424318   -99.00   16.07   13.58   12.39   11.71   11.45    5.85
   03442729+2450382    15.44   14.02   12.07   10.91   10.25   10.02    0.40
   03442749+2414172   -99.00   18.60   15.10   13.55   12.95   12.66  -99.00
   03442800+2410176    14.53   13.32   11.80   10.84   10.15   10.02    3.79
   03442808+1911061    12.74   11.84   10.77   10.00    9.54    9.42    0.53
